LIWCcat	birthyear	firstpub	age	r2	delta	bygran	fpgran	agegran
Analytic	0.0011344460167190774	0.0007524488016186271	0.018696015363892742	0.020582910182232017	0.6012237702356346	40	45	17
Clout	0.0037004847439385657	0.0077619446373685475	3.098722239465957e-05	0.011493416603704287	0.3228359905949172	29	9	45
Authentic	0.008087060821196604	0.012365521705075384	0.00017834075182966594	0.020630923278101787	0.3954053631519892	29	7	13
Tone	0.0708769651409066	0.042911630352735784	0.020463126117771763	0.13425172161141463	0.6228828542388208	11	9	4
WPS	0.003934301373280846	0.0008942720561866016	3.993057623522151e-05	0.004868504005703933	0.8147958047548565	9	40	40
Sixltr	0.0034954772794200373	0.011300227978090572	0.001441224785740682	0.01623693004325144	0.2362494533774022	35	11	21
Dic	0.006307128495465445	0.01562808037732775	0.00015948540698869254	0.02209469427978228	0.2875344626094871	21	13	35
function	0.001055568282195713	0.003184056792969542	0.005285064518733971	0.009524689593899516	0.24897679947667742	50	25	13
pronoun	0.0012787641398553332	0.004444206077743891	7.407704510656825e-05	0.005797047262704802	0.2234441367391516	45	25	45
ppron	0.00036056799389800557	0.0033624873582865874	0.00028107409456328464	0.004004129446743887	0.09684733633799819	50	25	45
i	0.01821994342110565	0.017440042582070728	0.0018349597261537083	0.03749494572932677	0.5109352375932712	17	9	50
we	0.0054609168012045945	0.007111678493636783	0.0009681633725469622	0.013540758667387909	0.4343507981558307	11	15	21
you	0.004004252832356071	5.282232478942062e-05	0.000530805846897937	0.004587881004041838	0.9869801956475005	29	40	35
shehe	0.001247241448139518	0.01235433315053294	0.0017587189532066111	0.015360293551882176	0.09169831324244263	29	25	50
they	0.004743004620601634	0.009565260362662113	0.000687332689106668	0.01499559767236558	0.3314870549398886	29	9	13
ipron	0.015665392918277055	0.003658432444671115	0.006176352982329488	0.025500178345276958	0.8106776284738189	11	13	11
article	0.01158512308793489	0.010850673103614336	0.0034215593661512597	0.025857355557688977	0.516367816369209	17	21	50
prep	0.022460312964799552	0.008921415853031155	0.02048089863558101	0.051862627453412524	0.7157130537702526	21	15	3
auxverb	0.009562987319888009	0.0006402607431397788	0.04574019327251858	0.05594344133554763	0.9372493210804302	40	17	7
adverb	0.012721010739130319	0.026459419166702344	0.0010412288656693645	0.040221658771499524	0.32467767121760405	21	11	7
conj	0.00412081842448036	0.009727850587792285	0.008130709427841632	0.02197937844011466	0.29756061184136207	40	9	7
negate	0.014994454033165848	0.00815222671576859	0.00925283541574246	0.03239951616467884	0.6478014794348481	29	15	11
verb	0.019019881507177257	0.03315189242715894	0.0011190292299348792	0.05329080316427037	0.36456267580849044	35	13	35
adj	0.016773145851865314	0.008797193303343642	0.00045337785566846125	0.02602371701087558	0.6559610238274233	45	21	21
compare	0.003680265858711456	3.234907250706905e-05	0.0017909487920529654	0.005503563723268545	0.9912867148609857	50	45	21
