depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos,agemse
t0,8.062,204.763,0.0460722161182885,0.0378808880535651,0.1589481008426,by_24,fp_4,5,24,0.0997315558011149,0.0182752898015419,0.154866352949362,0.0183948582002551,3.752
t1,64.726,20.366,0.0211566269079955,0.760659051379683,0.655989027323586,by_24,fp_24,5,3,0.0420546135106336,0.139472834500334,0.768329175717312,0.00316750288959311,3.114
t2,19.054,35.384,0.0108018209584466,0.350012858664903,0.392536841960693,by_24,fp_16,5,6,0.0201450857290661,0.0111777086905451,0.356855411455459,-0.00715073247324027,2.256
t3,65.727,148,0.123677000000394,0.307527827555714,0.399814672503604,by_16,fp_8,8,12,0.208912397776595,0.0297204124436208,0.124544535247245,0.0964351887536915,6.789
t4,33.386,3.295,0.0216288916865687,0.910171478422071,0.890180577126897,by_24,fp_20,5,4,0.00559802275731247,0.00672759016932589,0.545821957039239,0.00702418295246887,7.003
t5,38.236,11.507,0.0109194391256962,0.768670968779527,0.665966106024628,by_24,fp_24,5,3,0.0117792239978115,0.0193682015823727,0.621823512588939,3.60107866191894e-05,2.618
t6,478.039,50.994,0.121438534388514,0.903609037621472,0.48385542607687,by_4,fp_24,30,3,0.0391148388266972,0.098273164186005,0.715296547231414,0.0236791050673345,24.459
t7,39.349,154.793,0.148125094365286,0.202681542376199,0.233742781362277,by_24,fp_16,5,6,0.107516934952615,0.0480125313980038,0.308703762216779,0.115156985957523,7.005
t8,50.463,17.829,0.0145930606371983,0.738929889298893,0.585954645208486,by_16,fp_20,8,4,0.0438731552860194,0.0847944064764652,0.659019299930408,0.000735824931978879,1.326
t9,91.278,30.442,0.0416229282295302,0.749901413079198,0.599873818693235,by_8,fp_12,16,8,0.0155120600985091,0.0315737297394428,0.670557504676153,0.0117719602296996,2.165
t10,27.938,14.354,0.0193857541432476,0.660597748983259,0.538705779514603,by_24,fp_24,5,3,0.00474059449916775,0.011851807913596,0.714291253235213,0.00579204950540679,32.527
t11,11.448,0.673,0.00776872054175777,0.944476528339246,0.910764008592113,by_24,fp_24,5,3,1e-08,0.00611455765240754,0.999998364561394,-0.0040792219768262,1.426
t12,139.513,52.275,0.121916898578722,0.72743341606357,0.615576381718864,by_12,fp_16,10,6,0.0665128499360403,0.0681998658815292,0.50626153193947,0.0989716540892115,5.5
t13,102.707,232.181,0.217648154878829,0.306690595064619,0.51495348227973,by_24,fp_8,5,12,0.469869039888912,0.0404309552036261,0.0792297777629692,0.193318851551186,3.781
t14,94.864,20.3,0.0349627533047082,0.823729637734014,0.651475819632728,by_12,fp_20,10,4,0.0196764934893349,0.0226530155189951,0.535158948206492,0.0134877724971009,11.773
t15,78.181,31.124,0.0234591331383593,0.715255477791501,0.667722870368789,by_12,fp_12,10,8,0.0215773527513651,0.0362238392671307,0.626697097449815,0.00458781640772943,6.387
t16,31.481,2.961,0.0280689565926467,0.914029382730387,0.87635882803257,by_20,fp_20,6,4,0.000119199923210744,0.0461663942818452,0.997424686335825,0.0120850318118629,7.324
t17,130.489,14.938,0.0355369650909741,0.897281797740447,0.813699996882113,by_8,fp_12,16,8,0.0620488067128467,0.170599698793409,0.733293766156695,0.0130858374646116,0.547
t18,25.829,57.45,0.0649234141686622,0.310150217942098,0.264528914447238,by_24,fp_20,5,4,0.0611676923577342,1e-08,1.63484970246485e-07,0.0272743482706612,2.986
t19,38.632,126.279,0.114018597617396,0.234259691591222,0.234259691591222,by_20,fp_16,6,6,0.0954049451176793,0.0285572632200842,0.230370720262367,0.0969518495212541,25.968
t20,22.108,126.536,0.0589016907340451,0.148731196684696,0.456120322676038,by_24,fp_4,5,24,0.0493733373219576,0.0189076442612102,0.276909379783597,0.0247329814651469,0.826
t21,72.926,94.317,0.0582955349169977,0.436048145512817,0.382167173901366,by_12,fp_12,10,8,0.100942548860609,0.0223142194278917,0.18103849174158,0.015596328854902,1.365
t22,70.185,33.539,0.0632030931974679,0.67665149820678,0.610816016895312,by_16,fp_16,8,6,0.0246864233809367,0.0399758578148914,0.618225294183877,0.0223991705118507,1.819
t23,97.298,8.121,0.0329886414767564,0.922964550982271,0.827360427889337,by_12,fp_20,10,4,0.0301891436567792,0.0140451647145033,0.31751744814488,0.014820851502938,0.425
t24,21.928,56.773,0.0277931523123351,0.278624159794666,0.278624159794666,by_16,fp_12,8,8,0.0796141340153009,0.032386840981306,0.289165705765393,0.00571131090331245,15.266
t25,29.609,36.62,0.0161657585624089,0.447070014646152,0.326657522055552,by_24,fp_24,5,3,0.0328060900295994,0.0395652953794021,0.546698051388705,0.00484181569122488,34.71
t26,51.332,17.008,0.0400946552205224,0.751126719344454,0.751126719344454,by_16,fp_12,8,8,0.00979699767602449,0.0764369727443507,0.886390506800674,0.0112788214174654,20.541
t27,25.619,62.708,0.0543234370681301,0.290047210932105,0.352635925671025,by_20,fp_12,6,8,0.0330330913880463,0.0970019470844272,0.745967765487769,0.0365662075648672,4.895
t28,41.871,72.534,0.0586102661130773,0.365989248721647,0.302136625704451,by_16,fp_16,8,6,0.0562460317163428,0.016390891481428,0.225655090549472,0.0387965816526804,2.12
t29,83.725,22.222,0.0328427993325264,0.790253617374725,0.750880025111545,by_12,fp_12,10,8,0.0130879989328947,0.0604689776682708,0.822069917258028,0.00150724514775757,20.12
t30,8.747,7.99,0.00707502202440586,0.522614566529247,0.353742872164031,by_20,fp_24,6,3,0.00303566176159942,0.00134858102278734,0.307597249766809,-0.0193071305380463,8.679
t31,54.589,9.274,0.0148966876075734,0.854782894633826,0.854782894633826,by_20,fp_16,6,6,1e-08,0.0178817947272285,0.999999440772329,-0.00319746345493255,15.767
t32,186.092,7.204,0.0407464978801127,0.962730734210744,0.720917979948244,by_4,fp_24,30,3,0.00575313383566112,0.033448965005229,0.853244239319649,-0.00418953159040703,3.507
t33,864.326,3.614,0.189910425212593,0.995836117703989,0.95986522533888,by_4,fp_24,30,3,0.00249842830689462,0.235110707477595,0.989485133647552,0.00891794565947868,12.272
t34,155.01,62.215,0.124679155106192,0.713591897801818,0.713591897801818,by_16,fp_12,8,8,0.11944499064727,0.0416988559668838,0.25876790732648,0.0733606458055005,5.485
t35,46.683,269.388,0.260037477663443,0.147697827386885,0.454090491267491,by_24,fp_4,5,24,0.293775141852041,0.0397342788724999,0.119139899515216,0.236000411458425,8.929
t36,29.446,11.503,0.0190854955236261,0.719089599257613,0.605664607515786,by_12,fp_16,10,6,0.0420062509481482,0.0121355649814878,0.224144033093745,0.00290275011353325,0.025
t37,18.577,2.372,0.00959064635916096,0.886772638312091,0.796578191329703,by_16,fp_20,8,4,0.00161459111479312,0.00518405240778552,0.762512755753265,-0.00284601625183467,0.252
t38,114.875,12.336,0.11069488875506,0.903027253932443,0.777385278572927,by_16,fp_24,8,3,0.00673663957875492,0.145929290552365,0.955873326989401,0.0840023483464314,0.23
t39,43.546,31.95,0.0447844880677215,0.576798770795804,0.476063451804397,by_20,fp_20,6,4,0.0338234254919111,0.0381252725235196,0.529895238901237,0.0308357119832497,30.267
t40,35.28,150.343,0.0899081352958777,0.190062653873712,0.36028338616684,by_24,fp_8,5,12,0.250198290074008,0.026359087822852,0.0953114613079766,0.0634500786040049,8.016
t41,17.641,46.065,0.0168565701126455,0.276912692682008,0.338016564555301,by_20,fp_12,6,8,0.0270803245498342,0.00754500422151627,0.21790419006098,0.00123284004783353,50.682
t42,36.133,3.539,0.0113263023815448,0.910793506755394,0.871903767962067,by_20,fp_20,6,4,0.000249478695336869,0.0119967287519227,0.979628085151155,-0.00618507317021888,23.949
t43,36.142,37.448,0.0724871392534172,0.491126511754314,0.39151158004203,by_20,fp_20,6,4,0.0278471973588449,0.0388314495094072,0.582367089514172,0.046604648386994,0.812
t44,15.672,50.643,0.0169365944170836,0.236326622935987,0.270792836223207,by_24,fp_16,5,6,0.0283702819389968,0.0228225264324982,0.445815089238318,0.00762092153434812,2.332
t45,53.689,18.73,0.0171326577968095,0.741366216048275,0.518055238383182,by_8,fp_16,16,6,0.0783250743667754,0.146042986021517,0.650908091681028,-0.00252280156155527,1.176283
t46,42.676,174.332,0.180024084756503,0.196656344466563,0.423429025003307,by_16,fp_4,8,24,0.10358420060135,0.119335739435704,0.535330035598733,0.130717961384112,0.234
t47,15.82,28.989,0.0271713746307492,0.353054073958357,0.266763344490629,by_20,fp_20,6,4,0.0104339947599287,0.0277452350685995,0.726710182295709,0.0117750309766206,1.229
t48,62.079,50.851,0.0729040780733991,0.549712211104224,0.549712211104224,by_20,fp_16,6,6,0.0678812130620499,0.02330765265631,0.255597571838392,0.0616982351037134,13.015
t49,7.916,5.164,0.00621862246767148,0.60519877675841,0.433896075422057,by_20,fp_24,6,3,0.00151141460357374,1e-08,6.61627445812063e-06,-0.0063952398618603,13.61
t50,151.088,202.717,0.173649670066587,0.427037492404008,0.59849512669021,by_20,fp_8,6,12,0.129965255828577,0.11810219878386,0.476089049925452,0.157074846020706,0.862
t51,272.71,31.855,0.106980109297136,0.895408205145043,0.631295068115791,by_4,fp_16,30,6,0.10223170990163,0.426630882347308,0.806695138964358,0.0547395804008018,43.464
t52,50.194,2.125,0.0183561778836557,0.95938378027103,0.89855712427349,by_16,fp_24,8,3,1e-08,0.0339532342996172,0.999999705477335,-0.0106528096345146,5.945
t53,173.381,88.544,0.105129886994156,0.661949031211225,0.610365379267129,by_12,fp_12,10,8,0.0728867817290878,0.0702394337508502,0.490751701324036,0.0595293803663969,6.118
t54,23.028,15.568,0.028802927834977,0.59664213908177,0.470202281451635,by_24,fp_24,5,3,0.0110327731814873,0.0230499919959101,0.676294657312491,0.0166056318189843,4.543
t55,198.157,74.088,0.15336178783129,0.727862770666128,0.800475865384227,by_8,fp_4,16,24,0.220514011519182,0.0565837132117871,0.2042012913196,0.0503179174601666,5.336
t56,18.324,2.885,0.0058993994934491,0.863972841718138,0.760521291607869,by_20,fp_24,6,3,0.00465914056213812,0.0047444403294199,0.504535493886077,-0.00516459970907746,0.082
t57,79.774,84.555,0.0605145775124397,0.485452963262723,0.530989473263821,by_12,fp_8,10,12,0.174939896710193,0.48084750700622,0.733236875672221,0.030389963587485,4.017
t58,61.983,28.064,0.0249981127389138,0.688340533277066,0.595538004784827,by_20,fp_20,6,4,0.0154628297017705,0.0141666203245951,0.478126334170531,0.00923997998051274,13.417
t59,35.182,59.887,0.0622658356408817,0.370068055833132,0.370068055833132,by_20,fp_16,6,6,0.115588309682453,0.00936004795064316,0.0749113323932466,0.035315190132339,32.886
t60,25.721,9.559,0.00606339370992734,0.729053287981859,0.617511483858576,by_24,fp_24,5,3,0.0102288719958226,0.0154036291666411,0.600941323244656,-0.0056761754876149,0.184
t61,56.355,35.801,0.0310306447343874,0.611517426971657,0.512055171661828,by_20,fp_20,6,4,0.0183997671413163,0.022256573505949,0.547431794195331,0.0166130969079787,0.385
t62,52.174,99.009,0.0569165752049841,0.34510493904738,0.612536248048182,by_16,fp_4,8,24,0.067412837145032,0.0127049880870211,0.15857879379804,0.0119048384276721,2.535
t63,13.516,58.874,0.0160324712121202,0.186710871667357,0.355246384937862,by_24,fp_8,5,12,0.0247648603326851,0.00743746706183668,0.230960544271155,-0.00473722887005823,0.123
t64,56.545,143.251,0.0560538599142959,0.283013673947426,0.371894847381379,by_16,fp_8,8,12,0.210855704440133,0.273418099448914,0.564594031833194,0.0305312429665232,2.945
t65,83.162,96.968,0.140507844861448,0.461677677233109,0.673020480393638,by_24,fp_8,5,12,0.0491077325582683,0.10062010858235,0.672020031918124,0.112947456223806,0.188
t66,77.769,4.361,0.0215081070932887,0.946901254109339,0.869915546523984,by_16,fp_24,8,3,0.00949603856628212,0.0232996444391513,0.710448519559454,-0.000404399970543645,8.667
t67,57.935,52.311,0.0639470508890362,0.525506594343559,0.525506594343559,by_16,fp_12,8,8,0.0226151937443744,0.05056787652987,0.690977795006048,0.0384983615754713,1.903
t68,13.629,9.532,0.00395768909531628,0.588446094728207,0.461754774300654,by_24,fp_24,5,3,0.0103063346089458,0.0124377795417854,0.546857066375809,-0.00327968668222312,1.031
t69,19.531,17.341,0.00706521041812996,0.52969733130831,0.42885217104902,by_20,fp_20,6,4,0.0379686025749237,0.0316227182446733,0.454406064897798,-0.00371991635679003,0.202
t70,96.01,69.108,0.152490452865169,0.581462953766397,0.581462953766397,by_20,fp_16,6,6,0.110843744934279,0.0639500790606485,0.365860060722193,0.123360668725612,12.444
t71,156.484,24.799,0.0562934588523056,0.863202837552335,0.863202837552335,by_20,fp_16,6,6,0.0279393471759385,0.017547261369859,0.385767634273982,0.00660029650274352,3.559
t72,36.475,24.917,0.0215911786687982,0.594132786030753,0.305149263096251,by_12,fp_24,10,3,0.0166152059469165,0.00379057118508141,0.185759707192798,0.000893453187468252,29.76
t73,13.99,35.569,0.0217960961989684,0.282289796000726,0.164340757447608,by_16,fp_20,8,4,0.0674739087072939,0.0168352653979279,0.199684857272077,0.00400112029642263,4.033
t74,12.709,54.701,0.0209108769996924,0.188532858626317,0.236513615490907,by_20,fp_12,6,8,0.0504945516635027,0.0103261019300596,0.169779529155743,-0.00157790809865155,2.402
t75,37.862,21.143,0.019422140087085,0.641674434369969,0.544177991132063,by_20,fp_20,6,4,0.0489604122856504,0.0330036052223173,0.402659681964821,-0.00336918007427256,16.214
t76,60.752,28.772,0.0466535218777366,0.67861132210357,0.628141898528697,by_24,fp_20,5,4,0.0169844692927372,0.0673466723610169,0.798597896818807,0.0320182792755458,0.923
t77,20.967,41.025,0.00923516260850007,0.338221060782036,0.203529514546143,by_16,fp_20,8,4,0.0455015900725884,0.0494346202876619,0.52071406789964,-0.00215191584498986,0.307
t78,354.087,121.554,0.184192408253629,0.744441711290658,0.744441711290658,by_16,fp_12,8,8,0.122688490331801,0.117269055211179,0.488707512596949,0.132681342359585,0.122
t79,23.819,5.98,0.0120291424658489,0.79932212490352,0.665725705022499,by_16,fp_20,8,4,1e-08,0.0107206614900617,0.999999067222607,-0.00302047470192823,0.384
t80,45.387,45.501,0.0239538687580781,0.499372854502245,0.272229986264643,by_16,fp_24,8,3,0.0246273415658123,0.0111589584782644,0.311822078966541,0.0118668939258477,1.882
t81,19.592,2.264,0.00543038959135226,0.896412884333821,0.764436583081885,by_16,fp_24,8,3,1e-08,0.000229864902794974,0.999956498078396,-0.00802703515700487,13.517
t82,8.335,2.724,0.0015611742951221,0.753684781625825,0.534329123661773,by_16,fp_24,8,3,0.00499292392298556,0.00840304427416227,0.627281593274563,-0.00711492410536585,0.041
t83,94.648,78.563,0.121220592291544,0.54643180860338,0.643761761171696,by_16,fp_8,8,12,0.47453423010658,0.137436021822994,0.224579579464281,0.102179862275192,2.946
t84,43.286,29.047,0.0321653340835147,0.598426720860465,0.426967843756165,by_20,fp_24,6,3,0.0116283598462236,0.0300887498332734,0.721256819190936,0.0175644729977256,14.031
t85,68.681,27.04,0.0230867583047369,0.717512353611015,0.717512353611015,by_20,fp_16,6,6,0.0185112349006457,0.0958967569356083,0.838199809265599,0.00453536643387109,0.364
t86,17.674,30.709,0.0130551154260404,0.365293594857698,0.256681851408986,by_24,fp_24,5,3,0.0134598547547937,0.00288793741904936,0.176656112846243,-0.000545320212151479,1.828
t87,261.548,33.472,0.166898211022544,0.886543285201003,0.854236978134676,by_16,fp_16,8,6,0.0796033047333213,0.0683742965790356,0.462058419467879,0.0946649180631609,0.66
t88,70.584,18.638,0.0666813898263076,0.791105332765461,0.586804708803512,by_16,fp_24,8,3,0.0152905182275569,0.0660648345487691,0.812052708202301,0.0465147211933752,9.241
t89,35.506,133.252,0.130342165155737,0.210395951599332,0.347648141620648,by_20,fp_8,6,12,0.180519602260977,0.0174899454810363,0.0883287986891622,0.109477681411559,19.921
t90,20.155,8.176,0.020615154338933,0.711411528008189,0.596625388524348,by_24,fp_24,5,3,0.00416623032062646,0.032645467263782,0.886823194962053,0.00880472341528404,3.028
t91,47.677,5.7,0.0131176442868904,0.893212432321037,0.807031501261066,by_20,fp_24,6,3,0.00741742673070389,0.0159594168042696,0.682701955907483,-0.00157228026744227,1.439
t92,31.562,32.691,0.0176312714063741,0.491214418003829,0.607033039949417,by_24,fp_12,5,8,0.00992329397339664,0.00611232901767611,0.381171908386654,-0.003392767765386,14.122
t93,27.954,103.094,0.0274284201665434,0.213311153165252,0.178253619561093,by_12,fp_12,10,8,0.163671985984669,0.0768482408431264,0.319508433268471,0.00997516362057183,8.921
t94,32.439,11.079,0.00785039800695489,0.745415690059286,0.637258368694012,by_24,fp_24,5,3,0.0176535975629184,0.0447427157822604,0.717073067037502,-4.04640329572103e-05,5.429
t95,19.492,23.779,0.00768257183749941,0.45046335883155,0.353368805576454,by_20,fp_20,6,4,0.00452929614253739,0.00540706807066149,0.54416967359943,-0.00821849184834478,2.768
t96,10.254,20.195,0.00908888548975167,0.336759827908963,0.448245149092658,by_24,fp_12,5,8,0.0150806700195034,0.00551174978996838,0.267659160067879,-0.00147044944717467,1.486
t97,132.907,408.055,0.201508530669515,0.245686388323025,0.565752493128002,by_20,fp_4,6,24,0.344192123717263,0.0457393208622039,0.117300929427563,0.144577673325421,20.572
t98,10.385,34.907,0.0207446765545289,0.229289940828402,0.192248062015504,by_24,fp_20,5,4,0.0224962832160363,1e-08,4.44517676933176e-07,-0.00474355482054034,5.133
t99,42.928,29.976,0.0174643970555882,0.588829145177219,0.533943630438568,by_24,fp_20,5,4,0.0446348086090925,0.0851578913567784,0.656106941138991,0.000773740620938157,2.395
t100,16.305,56.564,0.0503324730824946,0.223757702177881,0.315636645211247,by_24,fp_12,5,8,0.0609479018429692,1e-08,1.64074530162161e-07,0.0337812718217111,0.838
t101,19.063,67.82,0.0661109350656873,0.21941001116444,0.252223922659975,by_24,fp_16,5,6,0.0383025675403149,0.00645782936857153,0.144275516182687,0.0507626971486753,47.834
t102,29.798,15.099,0.0122257547092629,0.663696906252088,0.568159934409351,by_20,fp_20,6,4,0.00918613313496852,0.0403186044128321,0.81443931247795,0.00101075849131727,0.907
t103,59.151,9.634,0.0164386230575167,0.859940393981246,0.754294239916347,by_20,fp_24,6,3,0.00345089904461338,0.00140545521414315,0.289405413867607,-0.0056984488349483,3.173
t104,39.22,26.362,0.0148432407807417,0.598029947241621,0.781210058926052,by_24,fp_8,5,12,0.0585872846878226,0.119100898808245,0.670280355535745,-0.0104487481933893,0.39
t105,43.842,32.213,0.0221990424341849,0.576451252383144,0.521256832712605,by_24,fp_20,5,4,0.00623847425478852,0.00574427389890819,0.479378672173467,-0.0215264573266518,7.853
t106,35.323,57.548,0.0196211561432987,0.380344779317548,0.329327416136792,by_24,fp_20,5,4,0.078544522466635,0.0873873633579485,0.526645996480332,-0.0043861024594738,13.194
t107,31.84,17.452,0.0376544690847228,0.645946603911385,0.593420930015842,by_24,fp_20,5,4,0.00882646023784417,0.0128326998374924,0.592483724800809,0.0145898321569715,13.889
