depvar,cmse,pmse,totalr2,delta,adjdelta,bywidth,fpwidth,bydf,fpdf,pmse_oos,cmse_oos,delta_oos,r2_oos
Analytic,37.481,18.619,0.034229891772344,0.668110516934046,0.763082686292923,by_20,fp_12,5,8,0.0151470776797007,0.0100415791142138,0.398654807057429,0.0142875857569831
Clout,28.793,32.711,0.0207580009331228,0.468148413111342,0.513682194860145,by_20,fp_16,5,6,0.0224900827839011,0.00785528143473624,0.258862651248448,0.00771627322345936
Authentic,2.043,56.28,0.0278346071080544,0.0350290622910344,0.0516391577989536,by_24,fp_16,4,6,0.0677714588565177,0.00467677959508694,0.0645533928090057,0.0176300684673298
Tone,41.645,18.709,0.138870604752647,0.690012260993472,0.780773602371662,by_20,fp_12,5,8,0.0529575186505463,0.0593882101382344,0.52862009778662,0.119703019088315
WPS,24.513,11.055,0.00849299446042441,0.689186909581647,0.525770542436137,by_16,fp_20,8,4,0.00484519224098112,0.00602803753963044,0.554392545844956,-0.0013173813831322
Sixltr,57.777,98.794,0.0375535741672704,0.36901469620811,0.737336343691276,by_20,fp_4,5,24,0.0593452470049004,0.0439153466634524,0.425286598724171,0.0132012540443155
Dic,16.926,39.79,0.0306086661396384,0.298434304252768,0.298434304252768,by_24,fp_20,4,4,0.0298953308937095,0.00768897464097895,0.204579399076096,0.0137218508592274
was_function,36.635,63.363,0.0254307493108885,0.366357327146543,0.634306392409447,by_24,fp_8,4,12,0.0728730507196278,0.0361753942360896,0.331736910606839,0.00253513112318671
pronoun,44.593,53.931,0.0174905444564928,0.452610531444115,0.623168456577486,by_24,fp_12,4,8,0.0290552942328501,0.0171498946618802,0.37116815388317,0.000842431129822074
ppron,44.853,50.886,0.0161867520127052,0.468492463886191,0.397982271674608,by_24,fp_24,4,3,0.0275259325506643,0.031890189678651,0.536726202958373,0.0035868238380854
i,67.295,27.175,0.0431958199572582,0.712342542606118,0.664551727543173,by_20,fp_20,5,4,0.0172726787598927,0.0354138256928351,0.672161231053194,0.0345229322398479
we,14.197,33.312,0.0188846135608353,0.298827590561788,0.242215890672718,by_24,fp_24,4,3,0.0182716467672762,0.0082494014414618,0.311051108407692,0.0110256125106311
you,75.128,18.184,0.0173063413016909,0.805126886145405,0.67381789481237,by_16,fp_20,8,4,0.0473736436962346,0.0475743883319091,0.501057128996707,-0.00183903292030241
shehe,11.334,54.542,0.0205820847238955,0.172050519157204,0.110859699001017,by_20,fp_24,5,3,0.0455820193092494,0.00141230736876796,0.0300527205857085,0.00628410105035482
they,6.308,49.37,0.02178498527531,0.113294299364201,0.203529829316297,by_24,fp_12,4,8,0.0358689231346178,0.0018023766644758,0.0478448228250189,0.00205562497718759
ipron,92.081,6.817,0.0342708550559782,0.931070395761289,0.890164600036091,by_20,fp_24,5,3,0.0119388645272513,0.0320786410503091,0.728770079753505,0.0192790862662502
article,16.379,17.004,0.0260475079578315,0.490638947967528,0.419425878978771,by_24,fp_24,4,3,0.0208160419513284,0.00962071434649736,0.316088687386988,0.0129960443304233
prep,47.923,20.757,0.0666015208085706,0.697772277227723,0.648754386974282,by_20,fp_20,5,4,0.0064091576460884,0.0604880844021149,0.904193992908254,0.0529757422956632
auxverb,22.246,8.35,0.0654431393260465,0.727088508301739,0.666460284806966,by_24,fp_24,4,3,0.0117484501312668,0.022461647469129,0.656579461757196,0.0515763867182365
adverb,33.163,104.733,0.0589083239068446,0.240492835180136,0.60315692074051,by_20,fp_4,5,24,0.199170400879684,0.0315799689236691,0.136857717500439,0.0357861830582326
conj,76.42,27.072,0.0410740811610388,0.738414563444517,0.679192292651712,by_16,fp_16,8,6,0.0102750482525855,0.032250622421557,0.758380101014298,0.0186901321900449
negate,31.166,19.667,0.0400889651098349,0.613105659709244,0.442070921985816,by_16,fp_20,8,4,0.00978502639414647,0.0116563052955123,0.543637189341844,0.0228707461568449
verb,70.974,59.227,0.0731022194582316,0.545111020652683,0.657222195856826,by_20,fp_12,5,8,0.0582831462630168,0.0404597878439581,0.409748689461924,0.0559107331100869
adj,67.297,14.788,0.035606204063936,0.819845282329293,0.819845282329293,by_24,fp_20,4,4,0.0103023576111426,0.0379131376927603,0.78632683235531,0.0216114941996871
compare,34.095,1.273,0.0146540768057411,0.964007011988238,0.955409996847525,by_20,fp_20,5,4,0.00168999911131129,0.00126014317017997,0.427146574619779,-0.00916514621797226
interrog,84.3,16.181,0.0457910959436422,0.838964580368428,0.806495975891224,by_20,fp_20,5,4,0.00447642828728945,0.0291464567972991,0.866863647303685,0.0236075988900984
number,110.692,24.047,0.0267685863328397,0.821529030199126,0.63318664053145,by_16,fp_24,8,3,0.0121446966119547,0.0343970458762247,0.73905797327981,0.0139186774455095
quant,8.844,33.222,0.0454410391325667,0.210241049778919,0.347436652916912,by_24,fp_12,4,8,0.013751695811476,0.0181483431764412,0.568912883878145,0.029531614894013
affect,32.492,50.605,0.116809864335079,0.391012912620191,0.339348238740656,by_20,fp_20,5,4,0.128206000456918,0.0265527756547839,0.171575249700984,0.104724207215702
posemo,107.996,14.998,0.184574783075801,0.878059092313446,0.797063548491059,by_12,fp_16,11,6,0.00380623937229962,0.365898822299731,0.9897046598305,0.157966426656118
negemo,27.33,54.688,0.0308345968595674,0.333219537174766,0.545327569005653,by_20,fp_8,5,12,0.0791556450325434,0.037702829750916,0.322636675010349,0.0153704552637176
anx,7.172,13.331,0.0188365853463871,0.349802467931522,0.349802467931522,by_24,fp_20,4,4,0.0111437237732783,0.0046347807742364,0.293740180527211,0.00444348083692581
anger,31.08,96.613,0.0586803567532129,0.24339627074311,0.658723458368805,by_24,fp_4,4,24,0.199748474850657,0.056167495953909,0.219476321768141,0.0379000579707408
sad,21.272,54.511,0.105580068147033,0.280696198355832,0.163261546963022,by_16,fp_20,8,4,0.133439063658209,0.00946800097585099,0.0662528546093613,0.0889838117624049
social,29.923,17.818,0.0143318438144552,0.626777821997863,0.501898143230142,by_20,fp_24,5,3,0.0113322904856343,0.0150645217030403,0.570694733718779,0.00223640494786759
family,57.754,12.31,0.0223193355173055,0.82430349394839,0.561314275347294,by_12,fp_24,11,3,0.00691334034919677,0.0113887258566634,0.622264487985341,-0.00335289906548319
friend,66.066,9.121,0.117149837245784,0.878689135089843,0.783626702092328,by_16,fp_20,8,4,0.00517252893448072,0.165947990272508,0.969772596773015,0.103511724230413
female,28.768,41.24,0.022050116950502,0.41092446577534,0.45566091529218,by_20,fp_16,5,6,0.0289818252879382,0.00858055143327252,0.228434731299291,0.00281436354758224
male,26.629,37.311,0.0188239381447777,0.416468564279012,0.348652081123899,by_24,fp_24,4,3,0.0248464390984418,0.0308790056971067,0.554127576915697,0.00747581500245031
cogproc,22.785,16.432,0.0415833683980214,0.580998036565775,0.689305702616851,by_20,fp_12,5,8,0.00485748977405198,0.00606181612638035,0.555146653244721,0.0253361937969138
insight,31.798,16.984,0.0208631601885645,0.651838792997417,0.691992978078257,by_20,fp_16,5,6,0.0264228003820171,0.00215481947797036,0.0754023424108669,-0.000706640127463354
cause,83.04,52.048,0.0670270973517619,0.614710410991354,0.635101924273171,by_12,fp_8,11,12,0.111991525621806,0.0476941224354087,0.298675072028515,0.0381510034476381
discrep,26.575,26.48,0.0393134950378378,0.500895297332956,0.429448678930216,by_24,fp_24,4,3,0.0185234329583474,0.00772109493236883,0.294198278761955,0.0253831568501932
tentat,16.056,29.589,0.0446957584565984,0.351758133420966,0.289255602795993,by_24,fp_24,4,3,0.0607145164428885,0.0323506679977298,0.347613000416624,0.0317890606972001
certain,94.979,3.518,0.0492097774758717,0.964283176137344,0.88042702427117,by_12,fp_24,11,3,0.00761595745098376,0.0777146069749854,0.910747602547606,0.0246859880504737
differ,22.487,37.753,0.0395703424269964,0.373290172642762,0.373290172642762,by_24,fp_20,4,4,0.0359972365642585,0.0406693675984648,0.530470444629906,0.0246207415118656
percept,120.49,21.094,0.153268698840215,0.85101423889705,0.67501967803651,by_12,fp_20,11,4,0.0185014296918321,0.241563349720088,0.928858380078729,0.137032491171286
see,54.329,36.166,0.060962068588208,0.600353610696724,0.643195397037119,by_20,fp_16,5,6,0.0342566060167622,0.0191322536077885,0.358356663587371,0.0456212980058837
hear,124.275,54.6,0.117196494021706,0.69475890985325,0.645500584339696,by_20,fp_20,5,4,0.0283872357228312,0.100944807547917,0.780508874638249,0.102234703104414
