topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type,BIC_diff,verdict
t0,AUM3,25323.06719872118,0.665784505785518,7,0,TRUE,3501,AUM,-5.311079277358658,AUM
t1,AUM3,19461.45263692409,0.2740310954226253,7,0,TRUE,3501,AUM,-5.482359443685709,AUM
t2,SDM1,27199.121916527143,0.985960463516098,6,0,TRUE,3501,SDM,-8.160655804225826,SDM
t3,AUM3,30033.431800541333,8.430307631708807,7,0.030304339448171506,TRUE,3501,AUM,-38.66093508242193,AUM
t4,AUM3,27562.911284355643,1.9259869550032651,7,0,TRUE,3501,AUM,-23.121487448755943,AUM
t5,AUM3,3295.2981385421954,21.085823411225224,7,0.052208882490575974,TRUE,3501,AUM,-33.76801276137803,AUM
t6,SDM1,26675.571465442554,26.853585296273327,6,0.04765628118583354,TRUE,3501,SDM,-1.801556829825131,Inconclusive
t7,AUM3,27897.02827989676,23.112862883309166,7,0.05491139923260509,TRUE,3501,AUM,-25.604297023695835,AUM
t8,AUM3,30974.641091038535,372.1527535835215,7,0.2299214231806307,TRUE,3501,AUM,-2.07114528713646,AUM
t9,SDM1,18462.8904913206,9.72373450483717,6,0.02530163553259579,TRUE,3501,SDM,-3.537496327273402,SDM
t10,SDM1,26919.810064211957,4.984289041889277,6,0.013745032917903157,TRUE,3501,SDM,-3.7139736717144842,SDM
t11,AUM3,29004.75149638004,4.708201540146508,7,0.01966660690210121,TRUE,3501,AUM,-35.86272140555957,AUM
t12,AUM3,25257.076589910223,9.916733662257185,7,0.03362497452879133,TRUE,3501,AUM,-51.421756845145865,AUM
t13,SDM1,28562.88772349232,6.6663077602284,6,0.018683480207392838,TRUE,3501,SDM,-5.854946003644727,SDM
t14,AUM3,28266.62895787995,18.614252411846785,7,0.04871125836199672,TRUE,3501,AUM,-2.232871190619335,AUM
t15,AUM1,26655.847833165742,67.23008604825736,5,0.06719482626212046,TRUE,3501,AUM,-59.87792802772674,AUM
